"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2020","0","25","25","0"
"Consumer Product Safety Commission","Agency Overall","2015","254","715","770","199"
"Legal Services Corporation","Agency Overall","2015","1","54","49","6"
"Equal Employment Opportunity Commission","Agency Overall","2017","2277","19002","17560","3719"
"Federal Communications Commission","Agency Overall","2019","62","700","703","59"
"Federal Reserve System","Agency Overall","2018","49","610","626","33"
"National Indian Gaming Commission","Agency Overall","2022","4","48","49","3"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2021","27","30","18","39"
"Neighborhood Reinvestment Corporation","Agency Overall","2024","15","47","48","14"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","6","15","15","6"
"United States African Development Foundation","Agency Overall","2022","0","1","0","1"
"National Credit Union Administration","Agency Overall","2022","9","112","115","6"
"Federal Maritime Commission","Agency Overall","2023","12","42","39","15"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","30","24","6"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","10","44","48","6"
"Tennessee Valley Authority","Agency Overall","2019","26","187","197","16"
"Neighborhood Reinvestment Corporation","Agency Overall","2020","4","7","11","0"
"U.S. Election Assistance Commission","Agency Overall","2022","88","195","72","211"
"Nuclear Regulatory Commission","Agency Overall","2019","232","369","510","91"
"Federal Deposit Insurance Corporation","Agency Overall","2022","45","494","502","37"
"Department of Defense","Agency Overall","2024","29656","61858","57662","33852"
"Office of National Drug Control Policy","Agency Overall","2022","24","50","65","9"
"National Capital Planning Commission","Agency Overall","2020","0","9","9","0"
"Federal Energy Regulatory Commission","Agency Overall","2019","48","117","114","51"
"National Labor Relations Board","Agency Overall","2020","113","1327","1393","47"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","15","15","0"
"Department of the Treasury","Agency Overall","2020","2142","11916","11260","2798"
"Federal Mediation and Conciliation Service","Agency Overall","2024","1","100","94","7"
"Council on Environmental Quality","Agency Overall","2022","42","127","124","45"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","4","4","0"
"General Services Administration","Agency Overall","2023","327","1723","1510","540"
"Federal Financial Institutions Examination Council","Agency Overall","2023","3","25","18","10"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","2","48","37","13"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","1","20","15","6"
"Overseas Private Investment Corporation","Agency Overall","2016","9","52","52","9"
"Department of Transportation","Agency Overall","2017","4877","15164","14539","5502"
"Selective Service System","Agency Overall","2016","0","14","14","0"
"U.S. Railroad Retirement Board","Agency Overall","2020","2","79","80","1"
"United States Trade and Development Agency","Agency Overall","2017","16","30","20","26"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","45","45","0"
"U.S. Agency for International Development","Agency Overall","2018","342","280","337","285"
"Federal Communications Commission","Agency Overall","2017","50","902","867","85"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","0","69","69","0"
"Advisory Council on Historic Preservation","Agency Overall","2024","27","153","33","147"
"U.S. Election Assistance Commission","Agency Overall","2018","15","38","45","8"
"Federal Financial Institutions Examination Council","Agency Overall","2024","10","45","48","7"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","27","11","8","30"
"National Archives and Records Administration","Agency Overall","2019","4090","67466","68062","3494"
"Securities and Exchange Commission","Agency Overall","2024","1436","10811","10985","1262"
"Small Business Administration","Agency Overall","2018","24","1089","1061","52"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","2","29","16","15"
"Inter-American Foundation","Agency Overall","2023","0","23","19","4"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2024","0","43","43","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","2","53","51","4"
"Central Intelligence Agency","Agency Overall","2015","1034","3618","3181","1471"
"Presidio Trust","Agency Overall","2018","0","5","5","0"
"Office of Science and Technology Policy","Agency Overall","2018","41","122","100","63"
"Central Intelligence Agency","Agency Overall","2016","1130","2547","2208","1469"
"Export-Import Bank of the U.S.","Agency Overall","2023","24","108","94","38"
"Equal Employment Opportunity Commission","Agency Overall","2024","959","18083","18334","708"
"Farm Credit Administration","Agency Overall","2018","0","23","21","2"
"Administrative Conference of the United States","Agency Overall","2024","0","145","145","0"
"Appraisal Subcommittee","Agency Overall","2024","5","45","44","6"
"Merit Systems Protection Board","Agency Overall","2022","56","138","130","64"
"Commission of Fine Arts","Agency Overall","2020","0","10","10","0"
"Office of the United States Trade Representative","Agency Overall","2023","3","66","62","7"
"U.S. Commission on Civil Rights","Agency Overall","2020","0","42","42","0"
"Institute of Museum and Library Services","Agency Overall","2021","2","40","41","1"
"Tennessee Valley Authority","Agency Overall","2017","18","199","201","16"
"Central Intelligence Agency","Agency Overall","2023","3162","2426","1567","4021"
"Office of Special Counsel","Agency Overall","2022","13","138","140","11"
"United States Access Board","Agency Overall","2020","8","24","31","1"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","9","9","0"
"U.S. Agency for Global Media","Agency Overall","2017","15","62","72","5"
"Equal Employment Opportunity Commission","Agency Overall","2016","1563","17680","17068","2175"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","4","17","21","0"
"Environmental Protection Agency","Agency Overall","2017","2079","11518","10802","2795"
"Department of Education","Agency Overall","2019","1034","2448","2368","1114"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","4","43","42","5"
"Department of Veterans Affairs","Agency Overall","2016","3327","34459","33313","4473"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0","0","0"
"Peace Corps","Agency Overall","2022","67","200","156","111"
"Occupational Safety and Health Review Commission","Agency Overall","2015","2","53","55","0"
"Nuclear Regulatory Commission","Agency Overall","2017","67","701","687","81"
"Marine Mammal Commission","Agency Overall","2016","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2018","34","138","148","24"
"Office of the United States Trade Representative","Agency Overall","2020","12","155","155","12"
"U.S. Department of State","Agency Overall","2023","20982","15713","12576","24119"
"Occupational Safety and Health Review Commission","Agency Overall","2020","20","94","108","6"
"Office of the United States Trade Representative","Agency Overall","2016","32","118","118","32"
"Administrative Conference of the United States","Agency Overall","2017","0","16","16","0"
"Department of Energy","Agency Overall","2019","666","1855","1883","638"
"National Commission on Military, National, and Public Service","Agency Overall","2019","2","37","34","5"
"Office of the Director of National Intelligence","Agency Overall","2024","687","504","390","801"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","1","132","133","0"
"Department of the Interior","Agency Overall","2017","1046","8005","6733","2318"
"Federal Election Commission","Agency Overall","2023","3","92","88","7"
"Department of Commerce","Agency Overall","2018","629","2269","1976","922"
"Federal Housing Finance Agency","Agency Overall","2015","14","169","161","22"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","4","4","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","2003","15320","16048","1275"
"U.S. Election Assistance Commission","Agency Overall","2017","3","34","22","15"
"Armed Forces Retirement Home","Agency Overall","2017","0","7","7","0"
"United States Institute of Peace","Agency Overall","2018","1","1","2","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","1","4","3","2"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","40","77","83","34"
"Millennium Challenge Corporation","Agency Overall","2021","1","24","23","2"
"National Capital Planning Commission","Agency Overall","2016","0","23","23","0"
"Appraisal Subcommittee","Agency Overall","2017","0","5","5","0"
"Office of Personnel Management","Agency Overall","2016","1065","10189","11104","150"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","1","35","27","9"
"United States Access Board","Agency Overall","2019","0","34","26","8"
"United States Trade and Development Agency","Agency Overall","2019","28","19","19","28"
"Federal Trade Commission","Agency Overall","2024","94","1938","1919","113"
"Office of Special Counsel","Agency Overall","2017","200","179","156","223"
"Department of Commerce","Agency Overall","2024","1247","4048","3410","1885"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2020","28","93","90","31"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","8","8","0"
"Federal Open Market Committee","Agency Overall","2019","0","26","26","0"
"Office of the Director of National Intelligence","Agency Overall","2020","588","527","406","709"
"Federal Communications Commission","Agency Overall","2020","59","572","579","52"
"United States Access Board","Agency Overall","2015","0","11","11","0"
"Department of Defense","Agency Overall","2016","12469","53544","52332","13681"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","1","16","13","4"
"National Labor Relations Board","Agency Overall","2015","145","4011","3679","477"
"Office of Management and Budget","Agency Overall","2015","33","198","163","68"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2020","8","43","46","5"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","5","5","0"
"Administrative Conference of the United States","Agency Overall","2015","0","26","26","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","3","3","0"
"United States Copyright Office","Agency Overall","2017","1","43","35","9"
"United States Trade and Development Agency","Agency Overall","2023","55","39","80","14"
"Department of Justice","Agency Overall","2021","36957","97490","75511","58936"
"Office of the Director of National Intelligence","Agency Overall","2021","709","441","651","499"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","3","18","21","0"
"Federal Trade Commission","Agency Overall","2022","48","1619","1579","88"
"Nuclear Regulatory Commission","Agency Overall","2018","85","643","496","232"
"Overseas Private Investment Corporation","Agency Overall","2018","6","59","53","12"
"National Labor Relations Board","Agency Overall","2017","294","2218","2105","407"
"Department of Labor","Agency Overall","2022","2158","14491","14335","2314"
"Selective Service System","Agency Overall","2018","0","54","54","0"
"Postal Regulatory Commission","Agency Overall","2016","0","31","31","0"
"Department of Homeland Security","Agency Overall","2019","88233","400245","429798","58680"
"Federal Communications Commission","Agency Overall","2022","50","523","508","65"
"U.S. Commission on Civil Rights","Agency Overall","2015","1","21","22","0"
"Department of Health and Human Services","Agency Overall","2017","5766","34978","34547","6197"
"United States Institute of Peace","Agency Overall","2017","0","1","1","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","4","4","0"
"Office of National Drug Control Policy","Agency Overall","2016","3","41","38","6"
"Nuclear Regulatory Commission","Agency Overall","2022","103","207","219","91"
"Merit Systems Protection Board","Agency Overall","2023","64","221","167","118"
"Federal Mediation and Conciliation Service","Agency Overall","2019","18","36","54","0"
"Department of Commerce","Agency Overall","2020","1264","2017","2108","1173"
"Selective Service System","Agency Overall","2021","0","39","39","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","10","10","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","3","17","16","4"
"Department of Housing and Urban Development","Agency Overall","2017","505","2296","1890","911"
"Federal Open Market Committee","Agency Overall","2021","0","36","36","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","0","13","6","7"
"United States International Trade Commission","Agency Overall","2022","8","68","60","16"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","1","1","0"
"Office of National Drug Control Policy","Agency Overall","2020","21","53","48","26"
"Commodity Futures Trading Commission","Agency Overall","2017","17","186","176","27"
"National Credit Union Administration","Agency Overall","2016","5","66","68","3"
"Export-Import Bank of the U.S.","Agency Overall","2018","51","77","85","43"
"Department of Housing and Urban Development","Agency Overall","2024","790","3324","3102","1012"
"Department of Commerce","Agency Overall","2019","890","2391","2017","1264"
"Institute of Museum and Library Services","Agency Overall","2022","1","30","31","0"
"Inter-American Foundation","Agency Overall","2019","1","11","10","2"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2024","0","11","11","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","6","6","0"
"Overseas Private Investment Corporation","Agency Overall","2017","9","56","59","6"
"General Services Administration","Agency Overall","2021","454","1349","1294","509"
"Pension Benefit Guaranty Corporation","Agency Overall","2024","112","2733","2773","72"
"U.S. Commission on Civil Rights","Agency Overall","2016","0","40","39","1"
"National Endowment for the Arts","Agency Overall","2021","1","41","41","1"
"National Credit Union Administration","Agency Overall","2020","19","132","134","17"
"United States International Trade Commission","Agency Overall","2017","0","49","46","3"
"National Mediation Board","Agency Overall","2015","0","36","35","1"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","0","0"
"United States Access Board","Agency Overall","2024","1","42","41","2"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","3","99","76","26"
"Department of the Treasury","Agency Overall","2024","3224","13303","12687","3840"
"Federal Election Commission","Agency Overall","2015","33","91","81","43"
"United States Copyright Office","Agency Overall","2020","10","50","55","5"
"National Endowment for the Humanities","Agency Overall","2017","5","58","57","6"
"Legal Services Corporation","Agency Overall","2023","2","29","22","9"
"Presidio Trust","Agency Overall","2019","0","5","5","0"
"United States Access Board","Agency Overall","2016","0","13","13","0"
"Federal Labor Relations Authority","Agency Overall","2021","0","101","97","4"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","7","7","0"
"U.S. Department of State","Agency Overall","2021","14877","10683","9505","16055"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2020","82","75","80","77"
"National Endowment for the Humanities","Agency Overall","2019","1","54","54","1"
"Department of Homeland Security","Agency Overall","2024","203533","911535","894939","220129"
"National Labor Relations Board","Agency Overall","2022","72","1963","1940","95"
"Denali Commission","Agency Overall","2022","0","7","7","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2020","1","39","39","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2020","14","16","3","27"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2024","3","65","47","21"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","6","58","49","15"
"United States International Trade Commission","Agency Overall","2024","22","271","173","120"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","20","58","46","32"
"Federal Reserve System","Agency Overall","2022","38","666","658","46"
"Inter-American Foundation","Agency Overall","2022","1","8","9","0"
"Merit Systems Protection Board","Agency Overall","2017","92","176","190","78"
"National Aeronautics and Space Administration","Agency Overall","2021","84","759","775","68"
"National Endowment for the Humanities","Agency Overall","2015","3","62","61","4"
"Consumer Financial Protection Bureau","Agency Overall","2019","169","484","435","218"
"United States Postal Service","Agency Overall","2023","266","4168","4104","330"
"National Endowment for the Humanities","Agency Overall","2016","4","47","46","5"
"United States Trade and Development Agency","Agency Overall","2020","28","25","8","45"
"Department of Housing and Urban Development","Agency Overall","2016","442","2345","2281","506"
"Department of Defense","Agency Overall","2017","13467","55198","53760","14905"
"United States International Boundary and Water Commission","Agency Overall","2016","1","34","32","3"
"Federal Mediation and Conciliation Service","Agency Overall","2015","6","55","57","4"
"U.S. Agency for Global Media","Agency Overall","2016","9","54","48","15"
"Denali Commission","Agency Overall","2021","0","9","9","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","9","7","2"
"Environmental Protection Agency","Agency Overall","2024","1794","7551","7134","2211"
"Federal Reserve System","Agency Overall","2015","34","778","770","42"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","8","47","48","7"
"Advisory Council on Historic Preservation","Agency Overall","2019","2","13","5","10"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","112","197","61","248"
"U.S. Election Assistance Commission","Agency Overall","2021","41","92","45","88"
"National Transportation Safety Board","Agency Overall","2022","165","518","500","183"
"United States International Boundary and Water Commission","Agency Overall","2018","2","50","42","10"
"National Science Foundation","Agency Overall","2016","186","348","304","230"
"Federal Energy Regulatory Commission","Agency Overall","2017","22","115","107","30"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","13","50","39","24"
"Marine Mammal Commission","Agency Overall","2024","27","57","70","14"
"U.S. International Development Finance Corporation","Agency Overall","2020","6","94","48","52"
"Department of Agriculture","Agency Overall","2016","3682","23870","23134","4418"
"Federal Financial Institutions Examination Council","Agency Overall","2022","1","12","10","3"
"U.S. Railroad Retirement Board","Agency Overall","2021","1","70","70","1"
"Department of Labor","Agency Overall","2024","2367","15833","14856","3344"
"Federal Reserve System","Agency Overall","2019","34","562","561","35"
"American Battle Monuments Commission","Agency Overall","2016","0","17","17","0"
"Securities and Exchange Commission","Agency Overall","2019","540","11546","11487","599"
"Department of Agriculture","Agency Overall","2017","4100","25461","24006","5555"
"Appraisal Subcommittee","Agency Overall","2019","0","2","2","0"
"Office of the United States Trade Representative","Agency Overall","2019","14","136","138","12"
"Social Security Administration","Agency Overall","2021","1908","13440","14662","686"
"Central Intelligence Agency","Agency Overall","2021","2895","2837","2870","2862"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2024","7","42","1","48"
"United States Postal Service","Agency Overall","2024","334","4429","4203","560"
"Occupational Safety and Health Review Commission","Agency Overall","2024","16","242","235","23"
"United States International Boundary and Water Commission","Agency Overall","2019","10","61","54","17"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","3","3","0"
"Tennessee Valley Authority","Agency Overall","2024","57","262","264","55"
"Social Security Administration","Agency Overall","2017","787","21560","21619","728"
"National Archives and Records Administration","Agency Overall","2022","9971","14975","14977","9969"
"Selective Service System","Agency Overall","2022","0","48","48","0"
"Department of Justice","Agency Overall","2018","19725","96875","91383","25217"
"Department of Agriculture","Agency Overall","2015","3465","20132","19559","4038"
"United States Postal Service","Agency Overall","2020","206","3575","3372","409"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","2","2","0"
"Legal Services Corporation","Agency Overall","2016","6","48","51","3"
"Office of Special Counsel","Agency Overall","2015","206","148","115","239"
"Federal Trade Commission","Agency Overall","2019","40","1381","1361","60"
"Small Business Administration","Agency Overall","2020","86","4529","3020","1595"
"United States Postal Service","Agency Overall","2021","396","4864","4905","355"
"Farm Credit Administration","Agency Overall","2024","7","75","75","7"
"National Credit Union Administration","Agency Overall","2023","6","159","153","12"
"National Science Foundation","Agency Overall","2019","258","327","267","318"
"National Labor Relations Board","Agency Overall","2021","47","1436","1411","72"
"Appraisal Subcommittee","Agency Overall","2020","0","7","7","0"
"United States Copyright Office","Agency Overall","2022","7","54","57","4"
"United States Access Board","Agency Overall","2018","0","8","8","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","11","29","28","12"
"U.S. International Development Finance Corporation","Agency Overall","2021","53","81","61","73"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","8","8","0"
"Surface Transportation Board","Agency Overall","2020","0","29","29","0"
"Presidio Trust","Agency Overall","2016","0","12","12","0"
"Office of Management and Budget","Agency Overall","2018","279","547","301","525"
"U.S. Agency for International Development","Agency Overall","2015","295","330","305","320"
"Department of Labor","Agency Overall","2016","1563","16196","16466","1293"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","86","2278","2217","147"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","8","8","0"
"Department of Labor","Agency Overall","2015","1615","16792","17104","1303"
"Overseas Private Investment Corporation","Agency Overall","2019","12","64","65","11"
"National Railroad Passenger Corporation","Agency Overall","2024","182","738","910","10"
"National Council on Disability","Agency Overall","2023","0","8","5","3"
"Farm Credit Administration","Agency Overall","2021","0","55","55","0"
"United States International Boundary and Water Commission","Agency Overall","2015","3","27","28","2"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","8","28","26","10"
"Social Security Administration","Agency Overall","2020","363","9688","8143","1908"
"Federal Reserve System","Agency Overall","2017","69","656","676","49"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","69","1618","1598","89"
"Department of Transportation","Agency Overall","2022","6537","19090","18958","6669"
"Office of the Director of National Intelligence","Agency Overall","2022","500","499","429","570"
"Department of the Treasury","Agency Overall","2015","1547","13922","13987","1482"
"Federal Labor Relations Authority","Agency Overall","2016","2","78","80","0"
"Council on Environmental Quality","Agency Overall","2023","45","122","132","35"
"Commission of Fine Arts","Agency Overall","2017","0","6","6","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","1","12","13","0"
"Department of Veterans Affairs","Agency Overall","2021","5781","27762","30227","3316"
"Surface Transportation Board","Agency Overall","2023","6","116","109","13"
"Marine Mammal Commission","Agency Overall","2020","2","5","4","3"
"Central Intelligence Agency","Agency Overall","2018","1949","2726","2345","2330"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","9","9","0"
"Social Security Advisory Board","Agency Overall","2023","0","21","19","2"
"Selective Service System","Agency Overall","2023","0","49","49","0"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","5","5","0"
"American Battle Monuments Commission","Agency Overall","2023","0","27","27","0"
"Social Security Advisory Board","Agency Overall","2022","0","10","10","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","26","18","8"
"Office of Personnel Management","Agency Overall","2024","140","968","783","325"
"United States Institute of Peace","Agency Overall","2023","2","18","3","17"
"United States International Boundary and Water Commission","Agency Overall","2023","31","51","26","56"
"Federal Open Market Committee","Agency Overall","2016","1","43","43","1"
"United States International Trade Commission","Agency Overall","2021","2","37","25","14"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","52","71","41","82"
"United States Copyright Office","Agency Overall","2023","7","47","40","14"
"Office of Management and Budget","Agency Overall","2016","63","154","151","66"
"Overseas Private Investment Corporation","Agency Overall","2015","5","40","36","9"
"Export-Import Bank of the U.S.","Agency Overall","2017","40","143","132","51"
"National Endowment for the Arts","Agency Overall","2015","4","55","58","1"
"National Capital Planning Commission","Agency Overall","2022","0","6","6","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2020","0","4","4","0"
"Council on Environmental Quality","Agency Overall","2017","69","189","216","42"
"National Endowment for the Humanities","Agency Overall","2024","11","65","62","14"
"United States African Development Foundation","Agency Overall","2019","0","7","7","0"
"National Aeronautics and Space Administration","Agency Overall","2016","56","834","847","43"
"National Capital Planning Commission","Agency Overall","2021","0","8","8","0"
"Federal Labor Relations Authority","Agency Overall","2019","0","93","84","9"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","223","3727","3877","73"
"Equal Employment Opportunity Commission","Agency Overall","2019","3698","17794","19794","1698"
"American Battle Monuments Commission","Agency Overall","2017","0","36","34","2"
"Consumer Financial Protection Bureau","Agency Overall","2016","16","442","427","31"
"Institute of Museum and Library Services","Agency Overall","2016","3","40","40","3"
"Department of Agriculture","Agency Overall","2022","2503","17069","17166","2406"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","18","18","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","6","16","19","3"
"Advisory Council on Historic Preservation","Agency Overall","2018","1","3","1","3"
"Department of Housing and Urban Development","Agency Overall","2022","1014","1819","2031","802"
"Surface Transportation Board","Agency Overall","2017","1","51","52","0"
"U.S. Railroad Retirement Board","Agency Overall","2023","2","80","74","8"
"National Council on Disability","Agency Overall","2018","0","3","3","0"
"Postal Regulatory Commission","Agency Overall","2018","1","52","53","0"
"Office of Science and Technology Policy","Agency Overall","2016","10","71","64","17"
"National Mediation Board","Agency Overall","2020","0","17","17","0"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","4","4","0"
"Office of Government Ethics","Agency Overall","2021","33","88","109","12"
"Department of Energy","Agency Overall","2022","793","1722","1511","1004"
"Council on Environmental Quality","Agency Overall","2015","48","83","75","56"
"Office of Government Ethics","Agency Overall","2016","4","84","87","1"
"National Transportation Safety Board","Agency Overall","2020","573","573","850","296"
"Department of Health and Human Services","Agency Overall","2022","12009","38462","37241","13230"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","3","3","3","3"
"Export-Import Bank of the U.S.","Agency Overall","2016","37","124","121","40"
"National Railroad Passenger Corporation","Agency Overall","2021","138","164","27","275"
"Appraisal Subcommittee","Agency Overall","2021","0","13","13","0"
"Office of Government Ethics","Agency Overall","2020","32","84","83","33"
"National Labor Relations Board","Agency Overall","2023","95","2198","2236","57"
"Legal Services Corporation","Agency Overall","2024","5","68","56","17"
"Inter-American Foundation","Agency Overall","2024","4","53","48","9"
"Office of Management and Budget","Agency Overall","2020","601","438","371","668"
"Office of Personnel Management","Agency Overall","2022","208","456","508","156"
"Farm Credit Administration","Agency Overall","2020","2","28","30","0"
"Millennium Challenge Corporation","Agency Overall","2015","23","18","41","0"
"Department of Energy","Agency Overall","2021","708","1492","1408","792"
"Department of Health and Human Services","Agency Overall","2015","9785","43085","45186","7684"
"Securities and Exchange Commission","Agency Overall","2015","607","16898","16207","1298"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","1","26","25","2"
"Department of Justice","Agency Overall","2016","14213","73103","71854","15462"
"National Science Foundation","Agency Overall","2020","319","259","209","369"
"Department of Transportation","Agency Overall","2015","2489","13374","12681","3182"
"Federal Maritime Commission","Agency Overall","2018","5","26","28","3"
"Department of Veterans Affairs","Agency Overall","2017","5123","24176","25237","4062"
"Federal Election Commission","Agency Overall","2024","7","351","318","40"
"National Council on Disability","Agency Overall","2022","0","16","16","0"
"Occupational Safety and Health Review Commission","Agency Overall","2021","6","143","148","1"
"Merit Systems Protection Board","Agency Overall","2020","52","127","124","55"
"Federal Financial Institutions Examination Council","Agency Overall","2017","1","35","36","0"
"Federal Financial Institutions Examination Council","Agency Overall","2016","0","33","32","1"
"National Labor Relations Board","Agency Overall","2018","405","1305","1547","163"
"Office of the Director of National Intelligence","Agency Overall","2017","322","456","376","402"
"Office of Personnel Management","Agency Overall","2019","259","10495","10493","261"
"Inter-American Foundation","Agency Overall","2021","0","8","7","1"
"United States Institute of Peace","Agency Overall","2020","0","8","4","4"
"Court Services and Offender Supervision Agency","Agency Overall","2017","41","510","455","96"
"Small Business Administration","Agency Overall","2022","4484","7844","10828","1500"
"Department of Energy","Agency Overall","2016","430","1974","2008","396"
"National Aeronautics and Space Administration","Agency Overall","2018","91","853","880","64"
"Social Security Advisory Board","Agency Overall","2020","0","5","4","1"
"National Capital Planning Commission","Agency Overall","2023","0","26","26","0"
"U.S. Department of State","Agency Overall","2016","11731","27961","15482","24210"
"Denali Commission","Agency Overall","2024","0","34","34","0"
"Consumer Product Safety Commission","Agency Overall","2016","199","702","697","204"
