"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Merit Systems Protection Board","Agency Overall","2016","69","2"
"Federal Reserve System","Agency Overall","2023","36","3"
"National Railroad Passenger Corporation","Agency Overall","2015","33","4"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0"
"Department of the Interior","Agency Overall","2016","677","337"
"Federal Labor Relations Authority","Agency Overall","2020","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2024","30","0"
"Department of Justice","Agency Overall","2024","21567","211"
"Federal Mediation and Conciliation Service","Agency Overall","2023","0","0"
"Securities and Exchange Commission","Agency Overall","2017","73","13"
"Consumer Financial Protection Bureau","Agency Overall","2015","0","0"
"Surface Transportation Board","Agency Overall","2016","0","0"
"Commodity Futures Trading Commission","Agency Overall","2023","4","0"
"Institute of Museum and Library Services","Agency Overall","2017","5","0"
"American Battle Monuments Commission","Agency Overall","2024","0","0"
"Commodity Futures Trading Commission","Agency Overall","2018","33","0"
"Merit Systems Protection Board","Agency Overall","2018","47","3"
"Armed Forces Retirement Home","Agency Overall","2016","0","0"
"United States African Development Foundation","Agency Overall","2018","0","0"
"National Council on Disability","Agency Overall","2021","0","0"
"Securities and Exchange Commission","Agency Overall","2018","112","0"
"United States Copyright Office","Agency Overall","2021","5","0"
"Office of National Drug Control Policy","Agency Overall","2017","9","0"
"Federal Energy Regulatory Commission","Agency Overall","2024","72","1"
"Surface Transportation Board","Agency Overall","2019","0","0"
"Department of Homeland Security","Agency Overall","2018","53971","237"
"Federal Mediation and Conciliation Service","Agency Overall","2017","22","0"
"Central Intelligence Agency","Agency Overall","2017","1757","113"
"Commodity Futures Trading Commission","Agency Overall","2019","8","0"
"Department of Veterans Affairs","Agency Overall","2022","824","202"
"Office of Special Counsel","Agency Overall","2024","60","0"
"Commission of Fine Arts","Agency Overall","2024","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","6","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","0"
"Federal Open Market Committee","Agency Overall","2020","0","0"
"United States Copyright Office","Agency Overall","2024","7","0"
"Social Security Advisory Board","Agency Overall","2019","0","0"
"Central Intelligence Agency","Agency Overall","2022","3005","381"
"Consumer Product Safety Commission","Agency Overall","2023","197","0"
"United States African Development Foundation","Agency Overall","2015","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2016","1","0"
"Commission of Fine Arts","Agency Overall","2022","0","0"
"National Science Foundation","Agency Overall","2022","483","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","3","0"
"Office of Management and Budget","Agency Overall","2019","568","4"
"Securities and Exchange Commission","Agency Overall","2016","90","2"
"Federal Financial Institutions Examination Council","Agency Overall","2021","1","0"
"National Credit Union Administration","Agency Overall","2021","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","0","0"
"Department of Justice","Agency Overall","2022","64982","321"
"United States Copyright Office","Agency Overall","2016","0","0"
"National Indian Gaming Commission","Agency Overall","2018","9","0"
"Commission of Fine Arts","Agency Overall","2021","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0"
"Federal Maritime Commission","Agency Overall","2022","8","0"
"Office of Government Ethics","Agency Overall","2018","60","0"
"National Commission on Military, National, and Public Service","Agency Overall","2018","1","0"
"General Services Administration","Agency Overall","2020","355","11"
"Environmental Protection Agency","Agency Overall","2019","2272","64"
"Department of Agriculture","Agency Overall","2020","2546","814"
"Pension Benefit Guaranty Corporation","Agency Overall","2020","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2020","21","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0"
"Federal Housing Finance Agency","Agency Overall","2019","22","0"
"Commodity Futures Trading Commission","Agency Overall","2020","6","0"
"Consumer Product Safety Commission","Agency Overall","2019","404","1"
"United States African Development Foundation","Agency Overall","2021","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0"
"Administrative Conference of the United States","Agency Overall","2023","0","0"
"Farm Credit Administration","Agency Overall","2023","0","0"
"Armed Forces Retirement Home","Agency Overall","2020","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2022","1","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","13","0"
"National Science Foundation","Agency Overall","2015","166","0"
"Environmental Protection Agency","Agency Overall","2016","1284","113"
"Consumer Product Safety Commission","Agency Overall","2021","465","0"
"National Mediation Board","Agency Overall","2018","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","17","0"
"Office of Science and Technology Policy","Agency Overall","2024","196","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0"
"Federal Open Market Committee","Agency Overall","2024","31","0"
"Presidio Trust","Agency Overall","2020","0","0"
"Nuclear Regulatory Commission","Agency Overall","2023","96","2"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2024","84","0"
"U.S. Commission on Civil Rights","Agency Overall","2024","64","0"
"National Transportation Safety Board","Agency Overall","2023","97","0"
"Council on Environmental Quality","Agency Overall","2021","37","0"
"National Aeronautics and Space Administration","Agency Overall","2017","11","0"
"General Services Administration","Agency Overall","2022","249","2"
"Federal Reserve System","Agency Overall","2020","17","4"
"Legal Services Corporation","Agency Overall","2017","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2024","146","3"
"Selective Service System","Agency Overall","2017","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","37","1"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0"
"Department of Veterans Affairs","Agency Overall","2023","780","325"
"Consumer Financial Protection Bureau","Agency Overall","2020","124","0"
"Federal Housing Finance Agency","Agency Overall","2016","12","0"
"Office of National Drug Control Policy","Agency Overall","2015","1","0"
"U.S. Agency for Global Media","Agency Overall","2015","4","0"
"U.S. Department of State","Agency Overall","2015","20626","376"
"U.S. Agency for Global Media","Agency Overall","2018","4","0"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0","0"
"Office of the National Cyber Director","Agency Overall","2024","223","0"
"National Endowment for the Arts","Agency Overall","2019","0","0"
"Department of Homeland Security","Agency Overall","2023","63883","502"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0"
"Department of Health and Human Services","Agency Overall","2024","12685","730"
"Office of Management and Budget","Agency Overall","2023","526","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","3","0"
"Denali Commission","Agency Overall","2016","0","0"
"U.S. Agency for International Development","Agency Overall","2016","318","6"
"National Capital Planning Commission","Agency Overall","2017","0","0"
"Department of Veterans Affairs","Agency Overall","2015","932","270"
"Office of Science and Technology Policy","Agency Overall","2022","157","0"
"National Mediation Board","Agency Overall","2019","0","0"
"Tennessee Valley Authority","Agency Overall","2020","17","0"
"General Services Administration","Agency Overall","2017","190","5"
"U.S. Agency for International Development","Agency Overall","2019","238","2"
"U.S. Election Assistance Commission","Agency Overall","2019","12","1"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","0","0"
"Surface Transportation Board","Agency Overall","2024","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","1","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0"
"Inter-American Foundation","Agency Overall","2017","1","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","114","0"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","0"
"Consumer Product Safety Commission","Agency Overall","2020","407","0"
"Department of Energy","Agency Overall","2024","1629","10"
"Tennessee Valley Authority","Agency Overall","2015","11","0"
"United States Trade and Development Agency","Agency Overall","2022","49","0"
"Occupational Safety and Health Review Commission","Agency Overall","2019","1","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","5","0"
"Consumer Financial Protection Bureau","Agency Overall","2024","142","0"
"National Science Foundation","Agency Overall","2017","263","0"
"Department of Agriculture","Agency Overall","2018","2407","838"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","1","0"
"Nuclear Regulatory Commission","Agency Overall","2020","81","3"
"Department of Education","Agency Overall","2017","618","49"
"Millennium Challenge Corporation","Agency Overall","2017","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2018","4","0"
"National Aeronautics and Space Administration","Agency Overall","2022","38","6"
"United States International Trade Commission","Agency Overall","2019","1","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","27","0"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2021","6","0"
"U.S. Department of State","Agency Overall","2017","13021","422"
"Social Security Administration","Agency Overall","2023","251","47"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","0"
"Social Security Administration","Agency Overall","2019","88","11"
"U.S. Election Assistance Commission","Agency Overall","2023","166","0"
"General Services Administration","Agency Overall","2018","246","14"
"Office of Personnel Management","Agency Overall","2023","98","7"
"Marine Mammal Commission","Agency Overall","2022","5","0"
"Appraisal Subcommittee","Agency Overall","2022","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2018","14","0"
"Department of Labor","Agency Overall","2019","991","245"
"Inter-American Foundation","Agency Overall","2020","0","0"
"United States International Boundary and Water Commission","Agency Overall","2020","28","0"
"Federal Labor Relations Authority","Agency Overall","2024","0","0"
"Department of the Treasury","Agency Overall","2017","1094","89"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","0"
"Social Security Administration","Agency Overall","2015","146","32"
"National Indian Gaming Commission","Agency Overall","2023","5","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2017","3","0"
"Peace Corps","Agency Overall","2018","56","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","0"
"U.S. Election Assistance Commission","Agency Overall","2024","243","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0"
"Legal Services Corporation","Agency Overall","2020","0","0"
"Office of Management and Budget","Agency Overall","2022","589","3"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","2","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","11","0"
"Department of Education","Agency Overall","2018","857","68"
"Office of National Drug Control Policy","Agency Overall","2018","21","0"
"Peace Corps","Agency Overall","2023","63","0"
"Federal Communications Commission","Agency Overall","2024","49","13"
"Office of the Director of National Intelligence","Agency Overall","2015","272","22"
"Department of Housing and Urban Development","Agency Overall","2018","860","14"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","2","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2024","252","0"
"Armed Forces Retirement Home","Agency Overall","2018","0","0"
"National Security Commission on Artificial Intelligence","Agency Overall","2020","2","0"
"Office of Management and Budget","Agency Overall","2017","231","5"
"Social Security Advisory Board","Agency Overall","2016","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","70","0"
"Court Services and Offender Supervision Agency","Agency Overall","2023","0","0"
"Department of Labor","Agency Overall","2017","594","346"
"Department of Energy","Agency Overall","2015","281","9"
"Federal Housing Finance Agency","Agency Overall","2022","35","0"
"Federal Maritime Commission","Agency Overall","2015","10","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","0"
"Department of Justice","Agency Overall","2020","29933","443"
"Department of Homeland Security","Agency Overall","2015","35374","190"
"Office of Special Counsel","Agency Overall","2020","14","0"
"Department of Defense","Agency Overall","2019","13198","893"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2024","0","0"
"United States Copyright Office","Agency Overall","2015","1","0"
"National Capital Planning Commission","Agency Overall","2018","0","0"
"Federal Communications Commission","Agency Overall","2018","9","11"
"Department of Justice","Agency Overall","2019","25558","454"
"Commodity Futures Trading Commission","Agency Overall","2016","16","0"
"U.S. Agency for Global Media","Agency Overall","2021","82","3"
"Office of the United States Trade Representative","Agency Overall","2021","5","0"
"Office of National Drug Control Policy","Agency Overall","2023","5","0"
"National Credit Union Administration","Agency Overall","2024","1","0"
"Federal Maritime Commission","Agency Overall","2020","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2020","2","0"
"Social Security Advisory Board","Agency Overall","2021","0","0"
"National Endowment for the Humanities","Agency Overall","2021","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","0","0"
"United States Postal Service","Agency Overall","2022","85","1"
"Legal Services Corporation","Agency Overall","2018","0","0"
"United States Postal Service","Agency Overall","2015","82","14"
"U.S. Agency for Global Media","Agency Overall","2022","84","1"
"Office of the Director of National Intelligence","Agency Overall","2019","561","22"
"Marine Mammal Commission","Agency Overall","2021","2","0"
"Department of the Interior","Agency Overall","2022","4808","314"
"Department of Energy","Agency Overall","2023","871","12"
"Securities and Exchange Commission","Agency Overall","2020","183","0"
"National Endowment for the Humanities","Agency Overall","2023","7","0"
"National Mediation Board","Agency Overall","2016","0","0"
"Department of Transportation","Agency Overall","2020","4272","126"
"United States International Trade Commission","Agency Overall","2018","0","0"
"National Railroad Passenger Corporation","Agency Overall","2023","159","20"
"Occupational Safety and Health Review Commission","Agency Overall","2023","1","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","3","0"
"National Mediation Board","Agency Overall","2017","0","0"
"Institute of Museum and Library Services","Agency Overall","2023","0","0"
"Administrative Conference of the United States","Agency Overall","2021","0","0"
"Federal Maritime Commission","Agency Overall","2016","2","0"
"Tennessee Valley Authority","Agency Overall","2022","17","0"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2015","11","0"
"National Science Foundation","Agency Overall","2024","784","3"
"National Science Foundation","Agency Overall","2023","644","0"
"Department of the Treasury","Agency Overall","2019","1495","100"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0"
"Small Business Administration","Agency Overall","2015","7","1"
"Millennium Challenge Corporation","Agency Overall","2024","1","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0"
"Federal Open Market Committee","Agency Overall","2017","1","0"
"Federal Deposit Insurance Corporation","Agency Overall","2017","1","0"
"United States Postal Service","Agency Overall","2019","34","1"
"Department of the Interior","Agency Overall","2019","4116","424"
"American Battle Monuments Commission","Agency Overall","2019","1","0"
"Millennium Challenge Corporation","Agency Overall","2022","0","0"
"Department of Commerce","Agency Overall","2023","1083","235"
"United States African Development Foundation","Agency Overall","2016","0","0"
"Department of the Interior","Agency Overall","2020","4267","404"
"Office of National Drug Control Policy","Agency Overall","2024","47","0"
"Inter-American Foundation","Agency Overall","2018","1","0"
"Department of Defense","Agency Overall","2023","19882","736"
"Legal Services Corporation","Agency Overall","2021","4","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","6","0"
"U.S. Railroad Retirement Board","Agency Overall","2016","11","0"
"National Aeronautics and Space Administration","Agency Overall","2019","28","5"
"National Archives and Records Administration","Agency Overall","2017","2061","173"
"Department of the Treasury","Agency Overall","2018","1453","115"
"Office of Personnel Management","Agency Overall","2018","215","45"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","1","0"
"Department of the Interior","Agency Overall","2023","4320","217"
"National Archives and Records Administration","Agency Overall","2023","6410","224"
"Surface Transportation Board","Agency Overall","2021","0","0"
"Office of Special Counsel","Agency Overall","2019","68","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2024","26","0"
"Federal Maritime Commission","Agency Overall","2019","1","0"
"Department of Labor","Agency Overall","2023","1468","286"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","1","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","539","38"
"Federal Trade Commission","Agency Overall","2017","8","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","1","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","13","0"
"Department of the Interior","Agency Overall","2021","4484","355"
"United States Trade and Development Agency","Agency Overall","2018","28","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","50","0"
"Office of Personnel Management","Agency Overall","2017","181","60"
"United States International Trade Commission","Agency Overall","2020","0","0"
"Office of Pandemic Preparedness and Response Policy","Agency Overall","2024","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","13","0"
"Appraisal Subcommittee","Agency Overall","2018","0","0"
"Office of Special Counsel","Agency Overall","2021","4","0"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","0"
"United States Trade and Development Agency","Agency Overall","2024","15","0"
"Institute of Museum and Library Services","Agency Overall","2015","0","0"
"Selective Service System","Agency Overall","2024","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2024","0","0"
"Presidio Trust","Agency Overall","2022","0","0"
"Office of Science and Technology Policy","Agency Overall","2021","131","0"
"Department of Agriculture","Agency Overall","2019","2700","1022"
"National Indian Gaming Commission","Agency Overall","2015","17","0"
"Farm Credit Administration","Agency Overall","2019","0","0"
"Nuclear Regulatory Commission","Agency Overall","2024","97","4"
"U.S. Department of State","Agency Overall","2019","11106","223"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2015","10","0"
"Office of Science and Technology Policy","Agency Overall","2023","172","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","14","2"
"National Endowment for the Arts","Agency Overall","2017","1","0"
"National Indian Gaming Commission","Agency Overall","2016","39","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","30","0"
"Department of Education","Agency Overall","2016","381","38"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2023","15","0"
"United States Postal Service","Agency Overall","2017","39","7"
"Federal Energy Regulatory Commission","Agency Overall","2021","25","0"
"Federal Reserve System","Agency Overall","2024","47","7"
"U.S. International Development Finance Corporation","Agency Overall","2023","66","0"
"National Transportation Safety Board","Agency Overall","2016","602","4"
"United States Postal Service","Agency Overall","2016","65","6"
"Armed Forces Retirement Home","Agency Overall","2021","0","0"
"U.S. Agency for International Development","Agency Overall","2021","396","5"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","9","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","4","0"
"United States International Trade Commission","Agency Overall","2016","0","0"
"Council on Environmental Quality","Agency Overall","2019","39","1"
"Federal Deposit Insurance Corporation","Agency Overall","2018","1","0"
"Federal Trade Commission","Agency Overall","2015","8","0"
"Office of Special Counsel","Agency Overall","2023","20","1"
"Peace Corps","Agency Overall","2019","69","0"
"Federal Mediation and Conciliation Service","Agency Overall","2016","2","0"
"National Railroad Passenger Corporation","Agency Overall","2018","64","2"
"Federal Open Market Committee","Agency Overall","2023","0","0"
"U.S. Department of State","Agency Overall","2022","18765","387"
"Department of Health and Human Services","Agency Overall","2018","6306","421"
"Nuclear Regulatory Commission","Agency Overall","2016","21","1"
"United States Trade and Development Agency","Agency Overall","2016","16","0"
"United States African Development Foundation","Agency Overall","2017","0","0"
"Department of Agriculture","Agency Overall","2023","1972","148"
"U.S. Agency for International Development","Agency Overall","2017","326","1"
"General Services Administration","Agency Overall","2019","334","12"
"Department of Homeland Security","Agency Overall","2020","36350","354"
"Appraisal Subcommittee","Agency Overall","2016","0","0"
"Nuclear Regulatory Commission","Agency Overall","2015","8","0"
"National Credit Union Administration","Agency Overall","2017","0","0"
"National Labor Relations Board","Agency Overall","2024","26","0"
"Environmental Protection Agency","Agency Overall","2023","1318","0"
"Millennium Challenge Corporation","Agency Overall","2023","8","0"
"U.S. Agency for International Development","Agency Overall","2024","590","12"
"Department of Transportation","Agency Overall","2024","8048","226"
"Federal Retirement Thrift Investment Board","Agency Overall","2020","1","1"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","0"
"Department of Education","Agency Overall","2021","697","42"
"Export-Import Bank of the U.S.","Agency Overall","2015","33","0"
"Social Security Advisory Board","Agency Overall","2024","0","0"
"Institute of Museum and Library Services","Agency Overall","2024","0","0"
"Department of Health and Human Services","Agency Overall","2021","9955","646"
"Federal Maritime Commission","Agency Overall","2024","28","0"
"Federal Communications Commission","Agency Overall","2016","9","12"
"Department of Housing and Urban Development","Agency Overall","2021","808","3"
"Denali Commission","Agency Overall","2020","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","5","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","2","0"
"National Indian Gaming Commission","Agency Overall","2020","1","0"
"National Railroad Passenger Corporation","Agency Overall","2020","57","11"
"U.S. Department of State","Agency Overall","2018","10400","367"
"Appraisal Subcommittee","Agency Overall","2023","0","0"
"Inter-American Foundation","Agency Overall","2016","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","0"
"Merit Systems Protection Board","Agency Overall","2019","46","2"
"National Archives and Records Administration","Agency Overall","2020","3511","99"
"Department of Justice","Agency Overall","2015","9744","272"
"Department of Education","Agency Overall","2020","859","55"
"Farm Credit Administration","Agency Overall","2022","0","0"
"Department of Commerce","Agency Overall","2015","343","59"
"Selective Service System","Agency Overall","2015","0","0"
"Office of the United States Trade Representative","Agency Overall","2018","11","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2024","31","0"
"Small Business Administration","Agency Overall","2017","13","2"
"National Archives and Records Administration","Agency Overall","2016","2932","158"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","2","0"
"Federal Trade Commission","Agency Overall","2016","12","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","3","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","0"
"Social Security Administration","Agency Overall","2022","92","37"
"Equal Employment Opportunity Commission","Agency Overall","2015","451","3"
