"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"U.S. Department of State","Agency Overall","2016","22664","469"
"Denali Commission","Agency Overall","2024","0","0"
"Consumer Product Safety Commission","Agency Overall","2016","171","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2024","44","0"
"Social Security Administration","Agency Overall","2016","119","26"
"Consumer Product Safety Commission","Agency Overall","2024","251","1"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","0"
"United States Access Board","Agency Overall","2017","0","0"
"Department of Veterans Affairs","Agency Overall","2018","4659","89"
"Armed Forces Retirement Home","Agency Overall","2015","0","0"
"National Council on Disability","Agency Overall","2016","0","0"
"Presidio Trust","Agency Overall","2024","0","0"
"General Services Administration","Agency Overall","2016","44","3"
"U.S. Commission on Civil Rights","Agency Overall","2023","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0"
"Council on Environmental Quality","Agency Overall","2020","55","1"
"Federal Deposit Insurance Corporation","Agency Overall","2023","123","0"
"Court Services and Offender Supervision Agency","Agency Overall","2021","0","0"
"Federal Election Commission","Agency Overall","2017","60","4"
"Administrative Conference of the United States","Agency Overall","2016","0","0"
"Postal Regulatory Commission","Agency Overall","2024","7","0"
"U.S. Department of State","Agency Overall","2024","21615","126"
"Institute of Museum and Library Services","Agency Overall","2019","5","0"
"Armed Forces Retirement Home","Agency Overall","2022","1","0"
"Administrative Conference of the United States","Agency Overall","2020","0","0"
"Federal Housing Finance Agency","Agency Overall","2021","19","0"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","0"
"Office of Science and Technology Policy","Agency Overall","2020","102","0"
"Commission of Fine Arts","Agency Overall","2018","0","0"
"Office of the United States Trade Representative","Agency Overall","2022","1","0"
"Farm Credit Administration","Agency Overall","2016","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2015","21","0"
"Federal Housing Finance Agency","Agency Overall","2024","98","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","8","0"
"United States Institute of Peace","Agency Overall","2019","0","0"
"U.S. Election Assistance Commission","Agency Overall","2016","3","0"
"National Indian Gaming Commission","Agency Overall","2019","2","0"
"U.S. Election Assistance Commission","Agency Overall","2020","10","0"
"Millennium Challenge Corporation","Agency Overall","2020","1","0"
"Small Business Administration","Agency Overall","2024","413","0"
"Federal Election Commission","Agency Overall","2019","51","1"
"Commission of Fine Arts","Agency Overall","2019","0","0"
"United States International Trade Commission","Agency Overall","2023","17","0"
"American Battle Monuments Commission","Agency Overall","2020","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2023","506","9"
"Consumer Product Safety Commission","Agency Overall","2022","441","0"
"Federal Election Commission","Agency Overall","2020","12","2"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","21","1"
"U.S. Railroad Retirement Board","Agency Overall","2017","8","0"
"Department of Health and Human Services","Agency Overall","2020","8817","694"
"American Battle Monuments Commission","Agency Overall","2015","0","0"
"Central Intelligence Agency","Agency Overall","2020","2736","315"
"Department of Energy","Agency Overall","2018","498","8"
"National Transportation Safety Board","Agency Overall","2015","679","4"
"Department of Defense","Agency Overall","2022","18567","862"
"United States International Trade Commission","Agency Overall","2015","0","0"
"Federal Election Commission","Agency Overall","2022","4","0"
"Office of the United States Trade Representative","Agency Overall","2015","15","0"
"Equal Employment Opportunity Commission","Agency Overall","2022","53","29"
"Selective Service System","Agency Overall","2020","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2020","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2024","8","0"
"Office of the Director of National Intelligence","Agency Overall","2016","289","16"
"Surface Transportation Board","Agency Overall","2015","0","0"
"Federal Open Market Committee","Agency Overall","2022","0","0"
"National Railroad Passenger Corporation","Agency Overall","2019","83","7"
"Department of Transportation","Agency Overall","2023","5913","229"
"Department of Justice","Agency Overall","2023","43927","240"
"Environmental Protection Agency","Agency Overall","2018","2761","132"
"Office of Science and Technology Policy","Agency Overall","2019","86","2"
"Office of Government Ethics","Agency Overall","2024","27","0"
"Office of Personnel Management","Agency Overall","2021","190","1"
"Postal Regulatory Commission","Agency Overall","2021","1","0"
"National Endowment for the Humanities","Agency Overall","2018","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2024","12","0"
"Department of Transportation","Agency Overall","2021","4811","161"
"Presidio Trust","Agency Overall","2021","2","0"
"National Credit Union Administration","Agency Overall","2015","0","0"
"National Aeronautics and Space Administration","Agency Overall","2023","32","7"
"Environmental Protection Agency","Agency Overall","2022","1537","0"
"National Endowment for the Arts","Agency Overall","2016","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2020","0","0"
"National Transportation Safety Board","Agency Overall","2024","226","0"
"National Archives and Records Administration","Agency Overall","2015","8325","105"
"Environmental Protection Agency","Agency Overall","2021","1500","0"
"United States African Development Foundation","Agency Overall","2023","0","0"
"Department of Veterans Affairs","Agency Overall","2024","1539","352"
"United States Institute of Peace","Agency Overall","2024","67","0"
"Department of Commerce","Agency Overall","2017","304","34"
"United States International Boundary and Water Commission","Agency Overall","2017","3","0"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0"
"Tennessee Valley Authority","Agency Overall","2016","13","0"
"Environmental Protection Agency","Agency Overall","2015","1355","174"
"Postal Regulatory Commission","Agency Overall","2015","0","0"
"National Mediation Board","Agency Overall","2021","0","0"
"Department of Labor","Agency Overall","2018","816","320"
"Denali Commission","Agency Overall","2019","0","0"
"National Mediation Board","Agency Overall","2024","0","0"
"Denali Commission","Agency Overall","2023","0","0"
"American Battle Monuments Commission","Agency Overall","2021","0","0"
"Federal Trade Commission","Agency Overall","2020","2","0"
"United States Copyright Office","Agency Overall","2019","8","1"
"Federal Labor Relations Authority","Agency Overall","2018","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","0","0"
"Department of Justice","Agency Overall","2017","12863","172"
"United States African Development Foundation","Agency Overall","2020","1","0"
"National Transportation Safety Board","Agency Overall","2021","114","0"
"United States Trade and Development Agency","Agency Overall","2015","21","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2020","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2022","2","0"
"Federal Deposit Insurance Corporation","Agency Overall","2021","24","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","12","0"
"National Transportation Safety Board","Agency Overall","2019","418","0"
"Federal Energy Regulatory Commission","Agency Overall","2016","9","0"
"National Science Foundation","Agency Overall","2018","248","0"
"Federal Communications Commission","Agency Overall","2021","21","7"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2024","127","0"
"Postal Regulatory Commission","Agency Overall","2023","7","0"
"National Indian Gaming Commission","Agency Overall","2017","15","0"
"Federal Energy Regulatory Commission","Agency Overall","2018","31","1"
"Millennium Challenge Corporation","Agency Overall","2016","0","0"
"Department of Energy","Agency Overall","2020","554","13"
"Department of Housing and Urban Development","Agency Overall","2020","1128","0"
"Peace Corps","Agency Overall","2015","130","0"
"National Archives and Records Administration","Agency Overall","2024","5107","254"
"Office of the United States Trade Representative","Agency Overall","2017","5","0"
"Small Business Administration","Agency Overall","2016","21","0"
"National Mediation Board","Agency Overall","2023","0","0"
"U.S. Agency for International Development","Agency Overall","2023","401","11"
"Federal Trade Commission","Agency Overall","2018","6","0"
"Federal Reserve System","Agency Overall","2016","43","3"
"Selective Service System","Agency Overall","2019","0","0"
"Small Business Administration","Agency Overall","2021","2144","8"
"Administrative Conference of the United States","Agency Overall","2022","0","0"
"Department of Education","Agency Overall","2024","2485","21"
"Office of Government Ethics","Agency Overall","2019","28","0"
"National Endowment for the Arts","Agency Overall","2024","0","0"
"Department of Commerce","Agency Overall","2021","773","143"
"Department of Health and Human Services","Agency Overall","2023","11256","640"
"Commodity Futures Trading Commission","Agency Overall","2022","3","0"
"National Council on Disability","Agency Overall","2024","25","0"
"General Services Administration","Agency Overall","2015","49","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","1","0"
"National Council on Disability","Agency Overall","2017","0","0"
"U.S. Agency for International Development","Agency Overall","2020","372","1"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0"
"Presidio Trust","Agency Overall","2017","0","0"
"National Aeronautics and Space Administration","Agency Overall","2024","39","8"
"Export-Import Bank of the U.S.","Agency Overall","2024","37","5"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2024","89","0"
"Office of National Drug Control Policy","Agency Overall","2021","15","0"
"Department of Education","Agency Overall","2015","265","69"
"Marine Mammal Commission","Agency Overall","2018","1","0"
"Federal Labor Relations Authority","Agency Overall","2015","0","0"
"Office of Special Counsel","Agency Overall","2018","112","0"
"Postal Regulatory Commission","Agency Overall","2022","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2024","54","0"
"United States Postal Service","Agency Overall","2018","62","5"
"Department of Homeland Security","Agency Overall","2017","44117","172"
"Equal Employment Opportunity Commission","Agency Overall","2018","2092","6"
"Department of Veterans Affairs","Agency Overall","2020","3220","66"
"United States Access Board","Agency Overall","2022","0","0"
"United States Institute of Peace","Agency Overall","2016","0","0"
"U.S. Department of State","Agency Overall","2020","13798","254"
"National Labor Relations Board","Agency Overall","2016","121","N/A"
"Department of Education","Agency Overall","2022","1557","34"
"Federal Housing Finance Agency","Agency Overall","2017","16","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2020","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2019","31","0"
"Department of the Treasury","Agency Overall","2016","893","65"
"Farm Credit System Insurance Corporation","Agency Overall","2024","1","0"
"Consumer Financial Protection Bureau","Agency Overall","2021","16","0"
"United States International Boundary and Water Commission","Agency Overall","2024","110","0"
"Peace Corps","Agency Overall","2021","64","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","3","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","1","0"
"Armed Forces Retirement Home","Agency Overall","2019","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","28","0"
"Peace Corps","Agency Overall","2016","86","0"
"National Railroad Passenger Corporation","Agency Overall","2016","76","10"
"National Mediation Board","Agency Overall","2022","0","0"
"Office of Management and Budget","Agency Overall","2024","909","4"
"Department of the Interior","Agency Overall","2018","3191","366"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","0"
"National Science Foundation","Agency Overall","2021","383","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","0","0"
"Department of Education","Agency Overall","2023","1978","35"
"Department of Housing and Urban Development","Agency Overall","2019","932","15"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","40","3"
"National Capital Planning Commission","Agency Overall","2024","0","0"
"Central Intelligence Agency","Agency Overall","2024","4879","246"
"Farm Credit Administration","Agency Overall","2015","0","0"
"Institute of Museum and Library Services","Agency Overall","2020","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","0"
"Consumer Product Safety Commission","Agency Overall","2017","185","0"
"Department of Housing and Urban Development","Agency Overall","2023","555","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","0","0"
"Denali Commission","Agency Overall","2017","0","0"
"Administrative Conference of the United States","Agency Overall","2019","0","0"
"Merit Systems Protection Board","Agency Overall","2024","127","0"
"Office of Science and Technology Policy","Agency Overall","2015","7","0"
"U.S. International Development Finance Corporation","Agency Overall","2022","54","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","3","0"
"United States Institute of Peace","Agency Overall","2022","2","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2019","1","0"
"Department of Agriculture","Agency Overall","2021","2081","170"
"Tennessee Valley Authority","Agency Overall","2023","35","1"
"Denali Commission","Agency Overall","2018","0","0"
"Federal Election Commission","Agency Overall","2016","46","5"
"National Endowment for the Arts","Agency Overall","2020","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2020","898","12"
"Department of Commerce","Agency Overall","2016","274","32"
"National Archives and Records Administration","Agency Overall","2018","1810","154"
"Department of Housing and Urban Development","Agency Overall","2015","256","6"
"Federal Deposit Insurance Corporation","Agency Overall","2016","4","0"
"Export-Import Bank of the U.S.","Agency Overall","2020","20","0"
"Federal Maritime Commission","Agency Overall","2017","2","0"
"Securities and Exchange Commission","Agency Overall","2022","485","0"
"Central Intelligence Agency","Agency Overall","2019","2384","237"
"National Railroad Passenger Corporation","Agency Overall","2017","68","4"
"Council on Environmental Quality","Agency Overall","2024","83","6"
"Department of Labor","Agency Overall","2021","1216","295"
"Office of Personnel Management","Agency Overall","2020","200","1"
"National Aeronautics and Space Administration","Agency Overall","2015","10","2"
"Commodity Futures Trading Commission","Agency Overall","2021","14","0"
"Department of Labor","Agency Overall","2020","1714","253"
"Department of the Treasury","Agency Overall","2023","2468","42"
"Small Business Administration","Agency Overall","2019","0","2"
"Federal Open Market Committee","Agency Overall","2015","1","0"
"American Battle Monuments Commission","Agency Overall","2022","0","0"
"Commodity Futures Trading Commission","Agency Overall","2024","11","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","32","0"
"National Labor Relations Board","Agency Overall","2019","35","0"
"United States Copyright Office","Agency Overall","2018","5","0"
"Marine Mammal Commission","Agency Overall","2023","4","0"
"National Credit Union Administration","Agency Overall","2019","1","0"
"United States Institute of Peace","Agency Overall","2021","3","0"
"United States International Boundary and Water Commission","Agency Overall","2022","37","0"
"National Endowment for the Humanities","Agency Overall","2022","2","0"
"Office of Personnel Management","Agency Overall","2015","77","17"
"Department of the Treasury","Agency Overall","2021","2280","35"
"Securities and Exchange Commission","Agency Overall","2023","819","2"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","0"
"Commission of Fine Arts","Agency Overall","2016","0","0"
"Department of Health and Human Services","Agency Overall","2019","7764","514"
"Federal Energy Regulatory Commission","Agency Overall","2022","42","0"
"Department of Veterans Affairs","Agency Overall","2019","2631","118"
"Social Security Administration","Agency Overall","2018","149","17"
"Legal Services Corporation","Agency Overall","2022","0","0"
"National Indian Gaming Commission","Agency Overall","2024","4","0"
"National Transportation Safety Board","Agency Overall","2018","658","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","69","0"
"United States African Development Foundation","Agency Overall","2024","31","0"
"Department of Transportation","Agency Overall","2019","3578","100"
"Nuclear Regulatory Commission","Agency Overall","2021","86","1"
"Office of Special Counsel","Agency Overall","2016","177","4"
"Social Security Advisory Board","Agency Overall","2017","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","1","0"
"Federal Deposit Insurance Corporation","Agency Overall","2020","11","0"
"Office of the United States Trade Representative","Agency Overall","2024","32","0"
"Federal Trade Commission","Agency Overall","2023","37","0"
"Social Security Administration","Agency Overall","2024","608","60"
"Administrative Conference of the United States","Agency Overall","2018","0","0"
"National Credit Union Administration","Agency Overall","2018","12","0"
"Consumer Financial Protection Bureau","Agency Overall","2022","48","0"
"Department of Commerce","Agency Overall","2022","906","180"
"Department of the Interior","Agency Overall","2015","571","233"
"Consumer Financial Protection Bureau","Agency Overall","2023","37","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","5","0"
"Surface Transportation Board","Agency Overall","2018","0","0"
"Institute of Museum and Library Services","Agency Overall","2018","8","0"
"National Aeronautics and Space Administration","Agency Overall","2020","39","0"
"Federal Maritime Commission","Agency Overall","2021","4","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","0"
"Armed Forces Retirement Home","Agency Overall","2024","0","0"
"Commodity Futures Trading Commission","Agency Overall","2015","53","1"
"Advisory Council on Historic Preservation","Agency Overall","2020","1","0"
"Department of Defense","Agency Overall","2015","9493","797"
"Merit Systems Protection Board","Agency Overall","2021","48","3"
"Tennessee Valley Authority","Agency Overall","2018","11","0"
"Marine Mammal Commission","Agency Overall","2017","1","0"
"Department of Energy","Agency Overall","2017","287","10"
"National Archives and Records Administration","Agency Overall","2021","4369","99"
"General Services Administration","Agency Overall","2024","354","5"
"Farm Credit Administration","Agency Overall","2017","0","0"
"Department of the Interior","Agency Overall","2024","4412","193"
"Securities and Exchange Commission","Agency Overall","2021","342","1"
"National Council on Disability","Agency Overall","2019","0","0"
"Postal Regulatory Commission","Agency Overall","2020","0","0"
"Council on Environmental Quality","Agency Overall","2018","51","1"
"Office of the National Cyber Director","Agency Overall","2023","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","2","0"
"Department of Transportation","Agency Overall","2018","2634","98"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0"
"Armed Forces Retirement Home","Agency Overall","2023","1","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","15","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","1","0"
"Millennium Challenge Corporation","Agency Overall","2019","2","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","0"
"United States Access Board","Agency Overall","2023","1","0"
"National Endowment for the Arts","Agency Overall","2023","0","0"
"Peace Corps","Agency Overall","2024","35","0"
"Federal Reserve System","Agency Overall","2021","17","1"
"Commission of Fine Arts","Agency Overall","2023","0","0"
"Federal Election Commission","Agency Overall","2021","4","1"
"Peace Corps","Agency Overall","2020","80","0"
"Office of the Director of National Intelligence","Agency Overall","2023","658","19"
"Legal Services Corporation","Agency Overall","2019","0","0"
"Office of Management and Budget","Agency Overall","2021","656","10"
"National Endowment for the Arts","Agency Overall","2018","0","0"
"Postal Regulatory Commission","Agency Overall","2017","1","0"
"Department of Homeland Security","Agency Overall","2016","46788","118"
"Federal Communications Commission","Agency Overall","2023","35","12"
"Office of Science and Technology Policy","Agency Overall","2017","22","0"
"Federal Communications Commission","Agency Overall","2015","25","9"
"U.S. Agency for Global Media","Agency Overall","2019","13","0"
"U.S. Agency for International Development","Agency Overall","2022","408","10"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","3","0"
"Federal Energy Regulatory Commission","Agency Overall","2023","94","0"
"Department of Agriculture","Agency Overall","2024","2270","148"
"Federal Open Market Committee","Agency Overall","2018","0","0"
"United States Trade and Development Agency","Agency Overall","2021","51","0"
"Merit Systems Protection Board","Agency Overall","2015","44","0"
"U.S. Agency for Global Media","Agency Overall","2024","1","0"
"Surface Transportation Board","Agency Overall","2022","0","0"
"Consumer Product Safety Commission","Agency Overall","2018","265","1"
"Federal Labor Relations Authority","Agency Overall","2023","35","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2024","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","0","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","0"
"Marine Mammal Commission","Agency Overall","2019","1","0"
"Department of Transportation","Agency Overall","2016","3593","60"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","1","0"
"Council on Environmental Quality","Agency Overall","2016","67","0"
"Small Business Administration","Agency Overall","2023","784","3"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","0"
"Department of Health and Human Services","Agency Overall","2016","4519","375"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","21","0"
"Department of the Treasury","Agency Overall","2022","2381","47"
"National Endowment for the Arts","Agency Overall","2022","0","0"
"Department of Defense","Agency Overall","2018","11391","919"
"Department of Homeland Security","Agency Overall","2022","52239","408"
"Millennium Challenge Corporation","Agency Overall","2018","2","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","1","0"
"Department of Defense","Agency Overall","2020","16000","954"
"Office of Government Ethics","Agency Overall","2015","1","0"
"Environmental Protection Agency","Agency Overall","2020","1783","1"
"American Battle Monuments Commission","Agency Overall","2018","0","0"
"Office of Government Ethics","Agency Overall","2017","128","0"
"United States Access Board","Agency Overall","2021","1","0"
"National Capital Planning Commission","Agency Overall","2015","0","0"
"National Capital Planning Commission","Agency Overall","2019","0","0"
"Social Security Advisory Board","Agency Overall","2018","0","0"
"Postal Regulatory Commission","Agency Overall","2019","0","0"
"Federal Election Commission","Agency Overall","2018","72","9"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0"
"U.S. Agency for Global Media","Agency Overall","2023","7","1"
"Presidio Trust","Agency Overall","2023","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2024","8","1"
"Federal Housing Finance Agency","Agency Overall","2023","51","0"
"Federal Trade Commission","Agency Overall","2021","9","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0"
"Office of Government Ethics","Agency Overall","2023","0","0"
"Federal Housing Finance Agency","Agency Overall","2020","27","1"
"National Indian Gaming Commission","Agency Overall","2021","1","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","0"
"Department of Defense","Agency Overall","2021","17597","891"
"Federal Retirement Thrift Investment Board","Agency Overall","2024","33","0"
"Tennessee Valley Authority","Agency Overall","2021","11","0"
"Office of Government Ethics","Agency Overall","2022","5","0"
"National Transportation Safety Board","Agency Overall","2017","819","7"
"National Council on Disability","Agency Overall","2020","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2021","25","0"
"Department of Homeland Security","Agency Overall","2021","25102","436"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","15","0"
"U.S. Agency for Global Media","Agency Overall","2020","42","1"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","0"
"National Endowment for the Humanities","Agency Overall","2020","4","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","1","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","1","0"
"Peace Corps","Agency Overall","2017","42","0"
"U.S. International Development Finance Corporation","Agency Overall","2024","102","0"
"National Railroad Passenger Corporation","Agency Overall","2022","277","13"
"Federal Labor Relations Authority","Agency Overall","2017","0","0"
"Federal Labor Relations Authority","Agency Overall","2022","34","0"
"All agencies","Agency Overall","2015","102828","4197"
"All agencies","Agency Overall","2016","115080","NaN"
"All agencies","Agency Overall","2017","111344","4301"
"All agencies","Agency Overall","2018","130718","NaN"
"All agencies","Agency Overall","2019","120436","5087"
"All agencies","Agency Overall","2020","141762","5072"
"All agencies","Agency Overall","2021","153227","4734"
"All agencies","Agency Overall","2022","206720","4709"
"All agencies","Agency Overall","2023","200843","4646"
"All agencies","Agency Overall","2024","267056","5382"